run_id,timestamp_start,timestamp_end,duration_seconds,program_number,program_name,completion_status,total_steps,completed_steps,successful_steps,failed_steps,error_message,safety_code,safety_message,hardware_mode,repeat_rows,repeat_lines
b003d7c5-1cbf-41f6-ba36-0452610fd7d4,2026-02-15T01:22:03.342834,2026-02-15T01:22:03.343112,0.0,1,Test Program,success,5,5,5,0,,,,mock,2,3
a99398e0-06c9-42bc-bf7d-eec080578623,2026-02-15T16:02:29.216730,2026-02-15T16:02:51.741880,22.53,1,ספר 60,user_stop,329,36,35,1,,,,mock,1,1
816388bc-e600-4d70-a0d2-ab787f6d8aaa,2026-02-15T17:10:11.633939,2026-02-15T17:11:41.918677,90.28,4,ספר 48,user_stop,284,6,5,1,,,,real,1,1
5d4c290c-8436-4637-b08e-ad215ff7f241,2026-02-15T17:14:25.679493,2026-02-15T17:27:26.567308,780.89,7,ספר 30,success,284,284,282,2,,,,real,1,1
d60b63b6-3526-4b12-828b-e0e4fd941436,2026-02-15T17:52:12.901720,2026-02-15T17:52:22.558208,9.66,1,ספר 60,user_stop,329,6,2,4,,,,mock,1,1
b7000335-f8ca-4b6a-97b1-7f738756aef8,2026-02-15T17:52:28.136400,2026-02-15T17:52:52.757725,24.62,14,"תפילין ראש חב""ד 60",success,59,59,42,17,,,,mock,1,1
cc0c6161-30b4-4f9d-a39b-87125930f056,2026-02-15T17:57:29.230141,2026-02-15T17:57:55.696923,26.47,15,"תפילין ראש חב""ד 70",success,59,59,42,17,,,,mock,1,1
48129fc7-9f95-4e47-98f2-c3f179e253e0,2026-02-15T18:29:22.421159,2026-02-15T18:29:48.768604,26.35,14,"תפילין ראש חב""ד 60",success,59,59,42,17,,,,mock,1,1
9b20c5d0-ef83-4ff3-9e2a-1ee26676e8f9,2026-02-15T18:53:44.996492,2026-02-15T18:54:12.558283,27.56,15,"תפילין ראש חב""ד 70",success,59,59,57,2,,,,mock,1,1
17fc7b40-2476-4f73-97a3-0e242045ffa2,2026-02-15T19:14:28.180206,2026-02-15T19:14:52.200591,24.02,14,"תפילין ראש חב""ד 60",success,49,49,47,2,,,,mock,1,1
14f97f28-2c05-44aa-b62c-fb00f80feffa,2026-02-15T19:18:15.413542,2026-02-15T19:18:30.888677,15.48,15,"תפילין ראש חב""ד 70",success,49,49,47,2,,,,mock,1,1
4dd4988d-ba91-451a-b0a1-eadf6b7e0555,2026-02-15T19:36:21.939682,2026-02-15T19:36:39.929097,17.99,14,"תפילין ראש חב""ד 60",success,49,49,49,0,,,,mock,1,1
6be04461-2ddd-4d0d-8124-98c11be2de95,2026-02-15T19:54:23.283328,2026-02-15T19:54:39.036924,15.75,14,"תפילין ראש חב""ד 60",success,49,49,49,0,,,,mock,1,1
52fb2d35-980e-44ca-a389-55ea37d2a126,2026-02-15T19:58:36.070366,2026-02-15T19:58:51.122767,15.05,14,"תפילין ראש חב""ד 60",success,49,49,49,0,,,,mock,1,1
38a65f62-0c36-4bb2-9b68-3c7359326a08,2026-02-15T21:04:53.178107,2026-02-15T21:06:21.696638,88.52,14,"תפילין ראש חב""ד 60",emergency_stop,49,37,37,0,,ROWS_MONITOR_DOOR_OPEN,"ROWS LEFT MOVEMENT BLOCKED!
   Row motor door is OPEN (limit switch UP)
   Left movement blocked until door is closed
   Right movement is allowed
   NOTE: Initial move to start position is allowed with door open",real,1,1
7441aa75-cc6c-4720-8d04-5497ace4b35e,2026-02-16T08:34:57.358652,2026-02-16T08:55:05.258517,1207.9,9,מזוזה 12,success,669,669,669,0,,,,real,5,5
43f89ed6-a0f7-4ef1-b035-a8547598c2d7,2026-02-20T01:45:58.180932,2026-02-20T01:46:18.449133,20.27,14,"תפילין ראש חב""ד 60",success,49,49,49,0,,,,mock,1,1
607159f0-82e0-45fd-bf01-18f80189efca,2026-02-20T02:01:59.938401,2026-02-20T02:02:06.280875,6.34,1,ספר 60,user_stop,329,6,6,0,,,,mock,1,1
7ba2457c-e737-463e-bcf3-751c8378b294,2026-02-20T02:02:14.989333,2026-02-20T02:02:48.736695,33.75,13,"תפילין יד חב""ד",emergency_stop,64,53,53,0,,ROWS_MONITOR_DOOR_OPEN,"ROWS LEFT MOVEMENT BLOCKED!
   Row motor door is OPEN (limit switch UP)
   Left movement blocked until door is closed
   Right movement is allowed
   NOTE: Initial move to start position is allowed with door open",mock,1,1
e83e4296-88d0-4c12-993a-dda8cd528c96,2026-02-20T02:03:33.801244,2026-02-20T02:03:58.161075,24.36,13,"תפילין יד חב""ד",success,64,64,64,0,,,,mock,1,1
b4d7a647-48f4-4548-9aec-ee086dcd0b11,2026-02-20T02:24:49.674022,2026-02-20T02:25:10.958232,21.28,13,"תפילין יד חב""ד",success,64,64,64,0,,,,mock,1,1
0b44df22-c10a-4f36-98e8-ecf876a64e38,2026-02-20T02:48:42.654720,2026-02-20T02:49:59.394593,76.74,13,"תפילין יד חב""ד",success,64,64,64,0,,,,mock,1,1
91f6177b-376b-4bfd-a185-52f57418a31e,2026-02-20T02:50:22.971556,2026-02-20T02:50:23.351258,0.38,13,"תפילין יד חב""ד",emergency_stop,64,3,3,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",mock,1,1
